"","V1","V2"
"399",143.51875,-30.00125
"400",143.51875,-25.80125
"401",143.51875,-25.20125
"402",143.51875,-24.60125
"403",143.51875,-27.60125
"404",143.51875,-22.20125
"405",143.51875,-21.00125
"406",143.51875,-19.80125
"407",143.51875,-20.40125
"408",143.51875,-24.00125
"409",143.51875,-22.80125
"410",143.51875,-23.40125
"411",143.51875,-21.60125
"412",143.51875,-19.20125
"413",143.51875,-18.60125
"414",142.91875,-38.40125
"415",142.91875,-37.80125
"416",142.91875,-37.20125
"417",142.91875,-36.60125
"418",143.51875,-15.00125
"419",143.51875,-18.00125
"420",143.51875,-16.80125
"421",142.91875,-34.80125
"422",143.51875,-14.40125
"423",142.91875,-36.00125
"424",142.91875,-33.00125
"425",142.91875,-32.40125
"426",143.51875,-13.80125
"427",143.51875,-16.20125
"428",143.51875,-17.40125
"429",143.51875,-15.60125
"430",142.91875,-31.80125
"431",142.91875,-34.20125
"432",142.91875,-33.60125
"433",142.91875,-31.20125
"434",142.91875,-30.60125
"435",142.91875,-27.00125
"436",142.91875,-27.60125
"437",142.91875,-28.20125
"438",142.91875,-29.40125
"439",142.91875,-30.00125
"440",142.91875,-26.40125
"441",142.91875,-28.80125
"442",142.91875,-25.80125
"443",142.31875,-37.80125
"444",142.91875,-24.60125
"445",142.91875,-24.00125
"446",142.31875,-37.20125
"447",142.91875,-21.60125
"448",142.91875,-19.80125
"449",142.91875,-22.80125
"450",142.91875,-22.20125
"451",142.91875,-23.40125
"452",142.91875,-20.40125
"453",142.31875,-36.60125
"454",142.31875,-36.00125
"455",142.31875,-35.40125
"456",142.91875,-25.20125
"457",142.91875,-21.00125
"458",141.71875,-37.80125
"459",142.31875,-34.80125
"460",142.31875,-33.00125
"461",142.31875,-31.20125
"462",141.71875,-37.20125
"463",142.91875,-15.60125
"464",142.31875,-31.80125
"465",142.31875,-33.60125
"466",142.31875,-30.60125
"467",142.91875,-18.00125
"468",142.31875,-34.20125
"469",142.91875,-19.20125
"470",142.91875,-17.40125
"471",142.91875,-16.80125
"472",142.91875,-16.20125
"473",142.31875,-30.00125
"474",141.71875,-36.00125
"475",142.31875,-29.40125
"476",142.91875,-15.00125
"477",142.91875,-13.80125
"478",142.91875,-14.40125
"479",142.31875,-32.40125
"480",141.71875,-36.60125
"481",142.91875,-12.00125
"482",141.71875,-34.80125
"483",141.71875,-35.40125
"484",142.91875,-18.60125
"485",142.91875,-12.00125
"486",142.91875,-12.60125
"487",142.91875,-12.60125
"488",142.31875,-28.80125
"489",142.91875,-13.20125
"490",141.71875,-33.60125
"491",141.71875,-31.20125
"492",142.31875,-27.60125
"493",142.31875,-27.00125
"494",141.71875,-33.00125
"495",142.31875,-26.40125
"496",141.71875,-34.20125
"497",141.71875,-30.60125
"498",142.31875,-25.80125
"499",141.71875,-29.40125
"500",141.71875,-31.80125
"501",142.31875,-24.00125
