"","hour","absorb","Tcfinal","posture","Tc_init","Time.to.35","tau","rate","Qsol","Zen","vel","Tair","Tsurf","PctCanopy","PctCloud","PctShade","RelHum"
"13",11,0.92,25.8306780985777,"n",10,NA,478.508099123856,1.98500440777034,582.1024096,26.66328366,3.404216867,21.98253012,21.98253012,0,0,0,22.4939759
"14",12,0.92,27.8521149127815,"n",10,NA,473.937735710163,2.26005826094831,669.6484848,22.82638995,3.456969697,23.47333333,23.47333333,0,0,0,19.36969697
"15",13,0.92,28.9346393723662,"n",10,NA,463.434296335323,2.45143350702718,678.9503106,26.78498641,3.610559006,24.47888199,24.47888199,0,0,0,17.2484472
"16",14,0.92,29.6687462557016,"n",10,NA,466.503384693141,2.5297239292666,630.6851852,35.86178168,3.556790123,25.23518519,25.23518519,0,0,0,14.90123457
"17",15,0.92,30.3379590963246,"n",10,NA,464.109726883479,2.629286729183,574.2893082,47.04560653,3.589937107,25.67861635,25.67861635,0,0,0,15.0754717
"18",16,0.92,30.5815291413493,"n",10,NA,485.036266032102,2.54597817722608,464.1509434,59.06883524,3.27672956,25.56477987,25.56477987,0,0,0,16.63522013
"19",8,0.77,16.2130886056681,"n",40,126.750528090186,537.135265290343,-2.65708616783604,191.7380952,58.99288177,2.445833333,15.0375,15.0375,0,0,0,45.4702381
"20",9,0.77,19.8155522914586,"n",40,140.323508204433,492.984753151418,-2.4566010505816,333.2083333,46.96428125,2.980357143,17.98988095,17.98988095,0,0,0,33.75
"21",10,0.77,22.500155017606,"n",40,160.490458808775,476.974773184789,-2.20135478430607,468.5714286,35.76665884,3.223214286,20.13452381,20.13452381,0,0,0,26.98214286
"22",11,0.77,24.784431447227,"n",40,185.783011192293,466.315485996696,-1.95776065899911,582.1024096,26.66328366,3.404216867,21.98253012,21.98253012,0,0,0,22.4939759
"23",12,0.77,26.7166016897948,"n",40,219.215679359811,464.18263294577,-1.71700499338893,669.6484848,22.82638995,3.456969697,23.47333333,23.47333333,0,0,0,19.36969697
"24",13,0.77,27.7952611430959,"n",40,240.096850578361,455.517996888491,-1.60758594921883,678.9503106,26.78498641,3.610559006,24.47888199,24.47888199,0,0,0,17.2484472
"25",14,0.77,28.5228064967201,"n",40,262.907178057731,459.568015120666,-1.49843241378752,630.6851852,35.86178168,3.556790123,25.23518519,25.23518519,0,0,0,14.90123457
"26",15,0.77,29.1637383291626,"n",40,283.330261683947,457.86486672447,-1.42001657585469,574.2893082,47.04560653,3.589937107,25.67861635,25.67861635,0,0,0,15.0754717
"27",16,0.77,29.3386526445559,"n",40,302.577081637534,478.032891931658,-1.33815235755388,464.1509434,59.06883524,3.27672956,25.56477987,25.56477987,0,0,0,16.63522013
"28",8,0.92,16.6701288370595,"n",40,129.558385245308,537.135265290343,-2.6060330799911,191.7380952,58.99288177,2.445833333,15.0375,15.0375,0,0,0,45.4702381
"29",9,0.92,20.3949740414508,"n",40,145.144692597397,492.984753151418,-2.38608100959191,333.2083333,46.96428125,2.980357143,17.98988095,17.98988095,0,0,0,33.75
"30",10,0.92,23.188935969084,"n",40,168.372343439869,476.974773184789,-2.11471108863903,468.5714286,35.76665884,3.223214286,20.13452381,20.13452381,0,0,0,26.98214286
"31",11,0.92,25.5620705564742,"n",40,198.241025830238,466.315485996696,-1.8577031915635,582.1024096,26.66328366,3.404216867,21.98253012,21.98253012,0,0,0,22.4939759
"32",12,0.92,27.5868702799409,"n",40,239.287097140736,464.18263294577,-1.60451453876466,669.6484848,22.82638995,3.456969697,23.47333333,23.47333333,0,0,0,19.36969697
"33",13,0.92,28.6819872360061,"n",40,265.562794060972,455.517996888491,-1.49078800503653,678.9503106,26.78498641,3.610559006,24.47888199,24.47888199,0,0,0,17.2484472
"34",14,0.92,29.416874244336,"n",40,293.899275200469,459.568015120666,-1.38170526330715,630.6851852,35.86178168,3.556790123,25.23518519,25.23518519,0,0,0,14.90123457
"35",15,0.92,30.0923604191055,"n",40,321.656041841918,457.86486672447,-1.29832712238085,574.2893082,47.04560653,3.589937107,25.67861635,25.67861635,0,0,0,15.0754717
"36",16,0.92,30.3251190517915,"n",40,347.687298527023,478.032891931658,-1.21433664229009,464.1509434,59.06883524,3.27672956,25.56477987,25.56477987,0,0,0,16.63522013
