"","dates","DOY","hour","forage.time.minute","forage.bout.minute","zen"
"248",1990-01-11 07:00:00,NA,NA,NA,NA,NA
"249",1990-01-11 08:00:00,NA,NA,NA,NA,NA
"250",1990-01-11 09:00:00,NA,NA,NA,NA,NA
"251",1990-01-11 10:00:00,NA,NA,NA,NA,NA
"252",1990-01-11 11:00:00,NA,NA,NA,NA,NA
"253",1990-01-11 12:00:00,NA,NA,NA,NA,NA
"254",1990-01-11 13:00:00,NA,NA,NA,NA,NA
"255",1990-01-11 14:00:00,NA,NA,NA,NA,NA
"256",1990-01-11 15:00:00,NA,NA,NA,NA,NA
"257",1990-01-11 16:00:00,NA,NA,NA,NA,NA
"258",1990-01-11 17:00:00,NA,NA,NA,NA,NA
"259",1990-01-11 18:00:00,NA,NA,NA,NA,NA
"260",1990-01-11 19:00:00,NA,NA,NA,NA,NA
"261",1990-01-11 20:00:00,NA,NA,NA,NA,NA
"262",1990-01-11 21:00:00,NA,NA,NA,NA,NA
"263",1990-01-11 22:00:00,NA,NA,NA,NA,NA
"264",1990-01-11 23:00:00,NA,NA,NA,NA,NA
"265",1990-01-12 00:00:00,NA,NA,NA,NA,NA
"266",1990-01-12 01:00:00,NA,NA,NA,NA,NA
"267",1990-01-12 02:00:00,NA,NA,NA,NA,NA
"268",1990-01-12 03:00:00,NA,NA,NA,NA,NA
"269",1990-01-12 04:00:00,NA,NA,NA,NA,NA
"270",1990-01-12 05:00:00,NA,NA,NA,NA,NA
"271",1990-01-12 06:00:00,NA,NA,NA,NA,NA
"272",1990-01-12 07:00:00,NA,NA,NA,NA,NA
"273",1990-01-12 08:00:00,NA,NA,NA,NA,NA
"274",1990-01-12 09:00:00,NA,NA,NA,NA,NA
"275",1990-01-12 10:00:00,NA,NA,NA,NA,NA
"276",1990-01-12 11:00:00,NA,NA,NA,NA,NA
"277",1990-01-12 12:00:00,NA,NA,NA,NA,NA
"278",1990-01-12 13:00:00,NA,NA,NA,NA,NA
"279",1990-01-12 14:00:00,NA,NA,NA,NA,NA
"280",1990-01-12 15:00:00,NA,NA,NA,NA,NA
"281",1990-01-12 16:00:00,NA,NA,NA,NA,NA
"282",1990-01-12 17:00:00,NA,NA,NA,NA,NA
"283",1990-01-12 18:00:00,NA,NA,NA,NA,NA
"284",1990-01-12 19:00:00,NA,NA,NA,NA,NA
"285",1990-01-12 20:00:00,NA,NA,NA,NA,NA
"286",1990-01-12 21:00:00,NA,NA,NA,NA,NA
"287",1990-01-12 22:00:00,NA,NA,NA,NA,NA
"288",1990-01-12 23:00:00,NA,NA,NA,NA,NA
"289",1990-01-13 00:00:00,NA,NA,NA,NA,NA
"290",1990-01-13 01:00:00,NA,NA,NA,NA,NA
"291",1990-01-13 02:00:00,NA,NA,NA,NA,NA
"292",1990-01-13 03:00:00,NA,NA,NA,NA,NA
"293",1990-01-13 04:00:00,NA,NA,NA,NA,NA
"294",1990-01-13 05:00:00,NA,NA,NA,NA,NA
"295",1990-01-13 06:00:00,NA,NA,NA,NA,NA
"296",1990-01-13 07:00:00,NA,NA,NA,NA,NA
"297",1990-01-13 08:00:00,NA,NA,NA,NA,NA
"298",1990-01-13 09:00:00,NA,NA,NA,NA,NA
"299",1990-01-13 10:00:00,NA,NA,NA,NA,NA
"300",1990-01-13 11:00:00,NA,NA,NA,NA,NA
"301",1990-01-13 12:00:00,NA,NA,NA,NA,NA
"302",1990-01-13 13:00:00,NA,NA,NA,NA,NA
"303",1990-01-13 14:00:00,NA,NA,NA,NA,NA
"304",1990-01-13 15:00:00,NA,NA,NA,NA,NA
"305",1990-01-13 16:00:00,NA,NA,NA,NA,NA
"306",1990-01-13 17:00:00,NA,NA,NA,NA,NA
"307",1990-01-13 18:00:00,NA,NA,NA,NA,NA
"308",1990-01-13 19:00:00,NA,NA,NA,NA,NA
"309",1990-01-13 20:00:00,NA,NA,NA,NA,NA
"310",1990-01-13 21:00:00,NA,NA,NA,NA,NA
"311",1990-01-13 22:00:00,NA,NA,NA,NA,NA
"312",1990-01-13 23:00:00,NA,NA,NA,NA,NA
"313",1990-01-14 00:00:00,NA,NA,NA,NA,NA
"314",1990-01-14 01:00:00,NA,NA,NA,NA,NA
"315",1990-01-14 02:00:00,NA,NA,NA,NA,NA
"316",1990-01-14 03:00:00,NA,NA,NA,NA,NA
"317",1990-01-14 04:00:00,NA,NA,NA,NA,NA
"318",1990-01-14 05:00:00,NA,NA,NA,NA,NA
"319",1990-01-14 06:00:00,NA,NA,NA,NA,NA
"320",1990-01-14 07:00:00,NA,NA,NA,NA,NA
"321",1990-01-14 08:00:00,NA,NA,NA,NA,NA
"322",1990-01-14 09:00:00,NA,NA,NA,NA,NA
"323",1990-01-14 10:00:00,NA,NA,NA,NA,NA
"324",1990-01-14 11:00:00,NA,NA,NA,NA,NA
"325",1990-01-14 12:00:00,NA,NA,NA,NA,NA
"326",1990-01-14 13:00:00,NA,NA,NA,NA,NA
"327",1990-01-14 14:00:00,NA,NA,NA,NA,NA
"328",1990-01-14 15:00:00,NA,NA,NA,NA,NA
"329",1990-01-14 16:00:00,NA,NA,NA,NA,NA
"330",1990-01-14 17:00:00,NA,NA,NA,NA,NA
"331",1990-01-14 18:00:00,NA,NA,NA,NA,NA
"332",1990-01-14 19:00:00,NA,NA,NA,NA,NA
"333",1990-01-14 20:00:00,NA,NA,NA,NA,NA
"334",1990-01-14 21:00:00,NA,NA,NA,NA,NA
"335",1990-01-14 22:00:00,NA,NA,NA,NA,NA
"336",1990-01-14 23:00:00,NA,NA,NA,NA,NA
"337",1990-01-15 00:00:00,NA,NA,NA,NA,NA
"338",1990-01-15 01:00:00,NA,NA,NA,NA,NA
"339",1990-01-15 02:00:00,NA,NA,NA,NA,NA
"340",1990-01-15 03:00:00,NA,NA,NA,NA,NA
"341",1990-01-15 04:00:00,NA,NA,NA,NA,NA
"342",1990-01-15 05:00:00,NA,NA,NA,NA,NA
"343",1990-01-15 06:00:00,NA,NA,NA,NA,NA
"344",1990-01-15 07:00:00,NA,NA,NA,NA,NA
"345",1990-01-15 08:00:00,NA,NA,NA,NA,NA
"346",1990-01-15 09:00:00,NA,NA,NA,NA,NA
"347",1990-01-15 10:00:00,NA,NA,NA,NA,NA
"348",1990-01-15 11:00:00,NA,NA,NA,NA,NA
"349",1990-01-15 12:00:00,NA,NA,NA,NA,NA
"350",1990-01-15 13:00:00,NA,NA,NA,NA,NA
"351",1990-01-15 14:00:00,NA,NA,NA,NA,NA
"352",1990-01-15 15:00:00,NA,NA,NA,NA,NA
"353",1990-01-15 16:00:00,NA,NA,NA,NA,NA
"354",1990-01-15 17:00:00,NA,NA,NA,NA,NA
"355",1990-01-15 18:00:00,NA,NA,NA,NA,NA
"356",1990-01-15 19:00:00,NA,NA,NA,NA,NA
"357",1990-01-15 20:00:00,NA,NA,NA,NA,NA
"358",1990-01-15 21:00:00,NA,NA,NA,NA,NA
"359",1990-01-15 22:00:00,NA,NA,NA,NA,NA
"360",1990-01-15 23:00:00,NA,NA,NA,NA,NA
"361",1990-01-16 00:00:00,NA,NA,NA,NA,NA
"362",1990-01-16 01:00:00,NA,NA,NA,NA,NA
"363",1990-01-16 02:00:00,NA,NA,NA,NA,NA
"364",1990-01-16 03:00:00,NA,NA,NA,NA,NA
"365",1990-01-16 04:00:00,NA,NA,NA,NA,NA
"366",1990-01-16 05:00:00,NA,NA,NA,NA,NA
"367",1990-01-16 06:00:00,NA,NA,NA,NA,NA
"368",1990-01-16 07:00:00,NA,NA,NA,NA,NA
"369",1990-01-16 08:00:00,NA,NA,NA,NA,NA
"370",1990-01-16 09:00:00,NA,NA,NA,NA,NA
"371",1990-01-16 10:00:00,NA,NA,NA,NA,NA
"372",1990-01-16 11:00:00,NA,NA,NA,NA,NA
"373",1990-01-16 12:00:00,NA,NA,NA,NA,NA
"374",1990-01-16 13:00:00,NA,NA,NA,NA,NA
"375",1990-01-16 14:00:00,NA,NA,NA,NA,NA
"376",1990-01-16 15:00:00,NA,NA,NA,NA,NA
"377",1990-01-16 16:00:00,NA,NA,NA,NA,NA
"378",1990-01-16 17:00:00,NA,NA,NA,NA,NA
"379",1990-01-16 18:00:00,NA,NA,NA,NA,NA
"380",1990-01-16 19:00:00,NA,NA,NA,NA,NA
"381",1990-01-16 20:00:00,NA,NA,NA,NA,NA
"382",1990-01-16 21:00:00,NA,NA,NA,NA,NA
"383",1990-01-16 22:00:00,NA,NA,NA,NA,NA
"384",1990-01-16 23:00:00,NA,NA,NA,NA,NA
"385",1990-01-17 00:00:00,NA,NA,NA,NA,NA
"386",1990-01-17 01:00:00,NA,NA,NA,NA,NA
"387",1990-01-17 02:00:00,NA,NA,NA,NA,NA
"388",1990-01-17 03:00:00,NA,NA,NA,NA,NA
"389",1990-01-17 04:00:00,NA,NA,NA,NA,NA
"390",1990-01-17 05:00:00,NA,NA,NA,NA,NA
"391",1990-01-17 06:00:00,NA,NA,NA,NA,NA
"392",1990-01-17 07:00:00,NA,NA,NA,NA,NA
"393",1990-01-17 08:00:00,NA,NA,NA,NA,NA
"394",1990-01-17 09:00:00,NA,NA,NA,NA,NA
"395",1990-01-17 10:00:00,NA,NA,NA,NA,NA
"396",1990-01-17 11:00:00,NA,NA,NA,NA,NA
"397",1990-01-17 12:00:00,NA,NA,NA,NA,NA
"398",1990-01-17 13:00:00,NA,NA,NA,NA,NA
"399",1990-01-17 14:00:00,NA,NA,NA,NA,NA
"400",1990-01-17 15:00:00,NA,NA,NA,NA,NA
"401",1990-01-17 16:00:00,NA,NA,NA,NA,NA
"402",1990-01-17 17:00:00,NA,NA,NA,NA,NA
"403",1990-01-17 18:00:00,NA,NA,NA,NA,NA
"404",1990-01-17 19:00:00,NA,NA,NA,NA,NA
"405",1990-01-17 20:00:00,NA,NA,NA,NA,NA
"406",1990-01-17 21:00:00,NA,NA,NA,NA,NA
"407",1990-01-17 22:00:00,NA,NA,NA,NA,NA
"408",1990-01-17 23:00:00,NA,NA,NA,NA,NA
"409",1990-01-18 00:00:00,NA,NA,NA,NA,NA
"410",1990-01-18 01:00:00,NA,NA,NA,NA,NA
"411",1990-01-18 02:00:00,NA,NA,NA,NA,NA
"412",1990-01-18 03:00:00,NA,NA,NA,NA,NA
"413",1990-01-18 04:00:00,NA,NA,NA,NA,NA
"414",1990-01-18 05:00:00,NA,NA,NA,NA,NA
"415",1990-01-18 06:00:00,NA,NA,NA,NA,NA
"416",1990-01-18 07:00:00,NA,NA,NA,NA,NA
"417",1990-01-18 08:00:00,NA,NA,NA,NA,NA
"418",1990-01-18 09:00:00,NA,NA,NA,NA,NA
"419",1990-01-18 10:00:00,NA,NA,NA,NA,NA
"420",1990-01-18 11:00:00,NA,NA,NA,NA,NA
"421",1990-01-18 12:00:00,NA,NA,NA,NA,NA
"422",1990-01-18 13:00:00,NA,NA,NA,NA,NA
"423",1990-01-18 14:00:00,NA,NA,NA,NA,NA
"424",1990-01-18 15:00:00,NA,NA,NA,NA,NA
"425",1990-01-18 16:00:00,NA,NA,NA,NA,NA
"426",1990-01-18 17:00:00,NA,NA,NA,NA,NA
"427",1990-01-18 18:00:00,NA,NA,NA,NA,NA
"428",1990-01-18 19:00:00,NA,NA,NA,NA,NA
"429",1990-01-18 20:00:00,NA,NA,NA,NA,NA
"430",1990-01-18 21:00:00,NA,NA,NA,NA,NA
"431",1990-01-18 22:00:00,NA,NA,NA,NA,NA
"432",1990-01-18 23:00:00,NA,NA,NA,NA,NA
"433",1990-01-19 00:00:00,NA,NA,NA,NA,NA
"434",1990-01-19 01:00:00,NA,NA,NA,NA,NA
"435",1990-01-19 02:00:00,NA,NA,NA,NA,NA
"436",1990-01-19 03:00:00,NA,NA,NA,NA,NA
"437",1990-01-19 04:00:00,NA,NA,NA,NA,NA
"438",1990-01-19 05:00:00,NA,NA,NA,NA,NA
"439",1990-01-19 06:00:00,NA,NA,NA,NA,NA
"440",1990-01-19 07:00:00,NA,NA,NA,NA,NA
"441",1990-01-19 08:00:00,NA,NA,NA,NA,NA
"442",1990-01-19 09:00:00,NA,NA,NA,NA,NA
"443",1990-01-19 10:00:00,NA,NA,NA,NA,NA
"444",1990-01-19 11:00:00,NA,NA,NA,NA,NA
"445",1990-01-19 12:00:00,NA,NA,NA,NA,NA
"446",1990-01-19 13:00:00,NA,NA,NA,NA,NA
"447",1990-01-19 14:00:00,NA,NA,NA,NA,NA
"448",1990-01-19 15:00:00,NA,NA,NA,NA,NA
"449",1990-01-19 16:00:00,NA,NA,NA,NA,NA
