"","lizards[k]","Tpred","ObsTb","Posture","Tc_init","Qsol","Zen","vel","Tair","Tsurf","PctCanopy","PctCloud","PctShade","RelHum"
"65","M10_opmodel",41.6164245365138,39.4,"n",39.5,712,56.532444,2.4166686,39.5,38.01612529,84.63,0,50,5
"66","M10_opmodel",40.6860693455777,39.4,"p",39.5,712,56.532444,2.4166686,39.5,38.01612529,84.63,0,50,5
"67","M10_opmodel",41.6164245365138,39.2,"n",39.5,712,56.532444,2.4166686,39.5,38.01612529,84.63,0,50,5
"68","M10_opmodel",40.6860693455777,39.2,"p",39.5,712,56.532444,2.4166686,39.5,38.01612529,84.63,0,50,5
"69","M10_opmodel",19.5349819105844,19.6,"n",18.7,210,22.51415253,4.2222256,18.7,14.94894502,61.58,100,0,94
"70","M10_opmodel",19.2864055759744,19.6,"p",18.7,210,22.51415253,4.2222256,18.7,14.94894502,61.58,100,0,94
"71","M10_opmodel",19.5349819105844,19.2,"n",18.7,210,22.51415253,4.2222256,18.7,14.94894502,61.58,100,0,94
"72","M10_opmodel",19.2864055759744,19.2,"p",18.7,210,22.51415253,4.2222256,18.7,14.94894502,61.58,100,0,94
"73","M10_opmodel",26.8696656939717,24.8,"n",23.7,901,31.84077644,4.0000032,23.7,21.29315065,23.68,35,15,11
"74","M10_opmodel",25.8532119483046,24.8,"p",23.7,901,31.84077644,4.0000032,23.7,21.29315065,23.68,35,15,11
"75","M10_opmodel",26.8696656939717,25.1,"n",23.7,901,31.84077644,4.0000032,23.7,21.29315065,23.68,35,15,11
"76","M10_opmodel",25.8532119483046,25.1,"p",23.7,901,31.84077644,4.0000032,23.7,21.29315065,23.68,35,15,11
"77","M10_opmodel",26.3575792008671,21.9,"n",23,482,31.33252907,1.7777792,23,19.05922559,65.02,90,0,39
"78","M10_opmodel",25.40481315386,21.9,"p",23,482,31.33252907,1.7777792,23,19.05922559,65.02,90,0,39
"79","M10_opmodel",26.3575792008671,22.1,"n",23,482,31.33252907,1.7777792,23,19.05922559,65.02,90,0,39
"80","M10_opmodel",25.40481315386,22.1,"p",23,482,31.33252907,1.7777792,23,19.05922559,65.02,90,0,39
"81","M10_opmodel",24.0063954749068,25.4,"n",21.8,413,16.33805084,2.1388906,21.8,19.44440524,65.02,70,0,28
"82","M10_opmodel",23.3410089670363,25.4,"p",21.8,413,16.33805084,2.1388906,21.8,19.44440524,65.02,70,0,28
"83","M10_opmodel",24.0063954749068,23.8,"n",21.8,413,16.33805084,2.1388906,21.8,19.44440524,65.02,70,0,28
"84","M10_opmodel",23.3410089670363,23.8,"p",21.8,413,16.33805084,2.1388906,21.8,19.44440524,65.02,70,0,28
"85","M10_opmodel",46.0440433999529,37.2,"n",37.3,828,42.66285706,0,37.3,33.73526887,69.79,20,50,9
"86","M10_opmodel",42.7447293165432,37.2,"p",37.3,828,42.66285706,0,37.3,33.73526887,69.79,20,50,9
"87","M10_opmodel",46.0440433999529,37.6,"n",37.3,828,42.66285706,0,37.3,33.73526887,69.79,20,50,9
"88","M10_opmodel",42.7447293165432,37.6,"p",37.3,828,42.66285706,0,37.3,33.73526887,69.79,20,50,9
"89","M10_opmodel",38.1419486261081,31.4,"n",36.4,886,19.92704391,1.250001,36.4,35.03337142,85.16,50,70,5
"90","M10_opmodel",37.588038615601,31.4,"p",36.4,886,19.92704391,1.250001,36.4,35.03337142,85.16,50,70,5
